2, 10, 5, 18, 17, 14, 35, 34, 
2, 10, 18, 14, 17, 35, 34, 5, 
10, 18, 14, 2, 17, 35, 34, 5, 
2, 10, 5, 18, 17, 14, 35, 34, 
5, 18, 14, 10, 17, 35, 34, 2, 
10, 18, 14, 2, 17, 35, 34, 5, 
2, 10, 18, 14, 17, 35, 34, 5, 
10, 18, 14, 2, 17, 35, 34, 5, 
5, 18, 14, 10, 17, 35, 34, 2, 
10, 18, 14, 2, 17, 35, 34, 5, 
10, 18, 14, 2, 17, 35, 34, 5, 
2, 10, 5, 18, 17, 14, 35, 34, 
18, 14, 10, 17, 35, 34, 5, 2, 
14, 17, 18, 10, 35, 34, 5, 2, 
2, 10, 5, 18, 17, 14, 35, 34, 
17, 14, 18, 10, 35, 34, 5, 2, 
17, 14, 18, 10, 35, 34, 5, 2, 
18, 14, 10, 17, 35, 34, 5, 2, 
14, 17, 18, 10, 35, 34, 5, 2, 
14, 17, 18, 10, 35, 34, 5, 2, 
14, 17, 18, 10, 35, 34, 5, 2, 
18, 14, 10, 17, 35, 34, 5, 2, 
18, 14, 10, 17, 35, 34, 5, 2, 
18, 5, 14, 10, 17, 35, 34, 2, 
14, 5, 17, 18, 10, 35, 34, 2, 
18, 14, 10, 17, 35, 34, 5, 2, 
17, 14, 18, 10, 35, 34, 5, 2, 
2, 10, 5, 18, 17, 14, 35, 34, 
14, 17, 18, 10, 35, 34, 5, 2, 
2, 10, 5, 18, 17, 14, 35, 34, 
18, 14, 10, 17, 35, 34, 5, 2, 
14, 17, 18, 10, 35, 34, 5, 2, 
35, 34, 18, 14, 10, 17, 5, 2, 
34, 35, 18, 14, 10, 17, 5, 2, 
35, 34, 18, 14, 10, 17, 5, 2, 
34, 35, 18, 14, 10, 17, 5, 2, 
34, 35, 18, 14, 10, 17, 5, 2, 
10, 18, 14, 2, 17, 35, 34, 5, 
18, 14, 10, 17, 35, 34, 5, 2, 
2, 10, 5, 18, 17, 14, 35, 34, 
2, 10, 5, 18, 17, 14, 35, 34, 
